-0.676605 (1.798176) with: {'model__depth': 1, 'model__num1': 400, 'model__num2': 200, 'optimizer__learn_rate': 0.1}
0.559781 (0.036106) with: {'model__depth': 1, 'model__num1': 400, 'model__num2': 400, 'optimizer__learn_rate': 0.001}
0.593410 (0.080839) with: {'model__depth': 1, 'model__num1': 400, 'model__num2': 400, 'optimizer__learn_rate': 0.01}
-1.862589 (1.765159) with: {'model__depth': 1, 'model__num1': 400, 'model__num2': 400, 'optimizer__learn_rate': 0.1}
-0.521328 (1.673382) with: {'model__depth': 2, 'model__num1': 100, 'model__num2': 100, 'optimizer__learn_rate': 0.001}
0.517556 (0.008492) with: {'model__depth': 2, 'model__num1': 100, 'model__num2': 100, 'optimizer__learn_rate': 0.01}
-1.865139 (1.761572) with: {'model__depth': 2, 'model__num1': 100, 'model__num2': 100, 'optimizer__learn_rate': 0.1}
0.674040 (0.055474) with: {'model__depth': 2, 'model__num1': 100, 'model__num2': 200, 'optimizer__learn_rate': 0.001}
0.630684 (0.090029) with: {'model__depth': 2, 'model__num1': 100, 'model__num2': 200, 'optimizer__learn_rate': 0.01}
0.546591 (0.133748) with: {'model__depth': 2, 'model__num1': 100, 'model__num2': 200, 'optimizer__learn_rate': 0.1}
-0.537387 (1.662274) with: {'model__depth': 2, 'model__num1': 100, 'model__num2': 400, 'optimizer__learn_rate': 0.001}
0.541731 (0.132397) with: {'model__depth': 2, 'model__num1': 100, 'model__num2': 400, 'optimizer__learn_rate': 0.01}
0.436812 (0.296520) with: {'model__depth': 2, 'model__num1': 100, 'model__num2': 400, 'optimizer__learn_rate': 0.1}
0.640998 (0.039453) with: {'model__depth': 2, 'model__num1': 200, 'model__num2': 100, 'optimizer__learn_rate': 0.001}
-1.963064 (1.849124) with: {'model__depth': 2, 'model__num1': 200, 'model__num2': 100, 'optimizer__learn_rate': 0.01}
0.491250 (0.225648) with: {'model__depth': 2, 'model__num1': 200, 'model__num2': 100, 'optimizer__learn_rate': 0.1}
-0.673090 (1.873608) with: {'model__depth': 2, 'model__num1': 200, 'model__num2': 200, 'optimizer__learn_rate': 0.001}
-0.495437 (1.691511) with: {'model__depth': 2, 'model__num1': 200, 'model__num2': 200, 'optimizer__learn_rate': 0.01}
0.593275 (0.092089) with: {'model__depth': 2, 'model__num1': 200, 'model__num2': 200, 'optimizer__learn_rate': 0.1}
-0.640276 (1.822857) with: {'model__depth': 2, 'model__num1': 200, 'model__num2': 400, 'optimizer__learn_rate': 0.001}
-0.634494 (1.828327) with: {'model__depth': 2, 'model__num1': 200, 'model__num2': 400, 'optimizer__learn_rate': 0.01}
-0.626288 (1.834187) with: {'model__depth': 2, 'model__num1': 200, 'model__num2': 400, 'optimizer__learn_rate': 0.1}
0.653376 (0.007643) with: {'model__depth': 2, 'model__num1': 400, 'model__num2': 100, 'optimizer__learn_rate': 0.001}
0.496100 (0.149334) with: {'model__depth': 2, 'model__num1': 400, 'model__num2': 100, 'optimizer__learn_rate': 0.01}
0.634215 (0.103055) with: {'model__depth': 2, 'model__num1': 400, 'model__num2': 100, 'optimizer__learn_rate': 0.1}
-0.676321 (1.871463) with: {'model__depth': 2, 'model__num1': 400, 'model__num2': 200, 'optimizer__learn_rate': 0.001}
0.655682 (0.078255) with: {'model__depth': 2, 'model__num1': 400, 'model__num2': 200, 'optimizer__learn_rate': 0.01}
0.504220 (0.174292) with: {'model__depth': 2, 'model__num1': 400, 'model__num2': 200, 'optimizer__learn_rate': 0.1}
0.584933 (0.119163) with: {'model__depth': 2, 'model__num1': 400, 'model__num2': 400, 'optimizer__learn_rate': 0.001}
-0.664977 (1.879325) with: {'model__depth': 2, 'model__num1': 400, 'model__num2': 400, 'optimizer__learn_rate': 0.01}
0.625857 (0.084512) with: {'model__depth': 2, 'model__num1': 400, 'model__num2': 400, 'optimizer__learn_rate': 0.1}
-0.629359 (1.598079) with: {'model__depth': 5, 'model__num1': 100, 'model__num2': 100, 'optimizer__learn_rate': 0.001}
-0.666926 (1.803904) with: {'model__depth': 5, 'model__num1': 100, 'model__num2': 100, 'optimizer__learn_rate': 0.01}
-0.664965 (1.805783) with: {'model__depth': 5, 'model__num1': 100, 'model__num2': 100, 'optimizer__learn_rate': 0.1}
-0.584669 (1.627595) with: {'model__depth': 5, 'model__num1': 100, 'model__num2': 200, 'optimizer__learn_rate': 0.001}
-0.562394 (1.644441) with: {'model__depth': 5, 'model__num1': 100, 'model__num2': 200, 'optimizer__learn_rate': 0.01}
0.530164 (0.105835) with: {'model__depth': 5, 'model__num1': 100, 'model__num2': 200, 'optimizer__learn_rate': 0.1}
-0.636034 (1.826238) with: {'model__depth': 5, 'model__num1': 100, 'model__num2': 400, 'optimizer__learn_rate': 0.001}
0.594175 (0.135107) with: {'model__depth': 5, 'model__num1': 100, 'model__num2': 400, 'optimizer__learn_rate': 0.01}
0.629458 (0.078609) with: {'model__depth': 5, 'model__num1': 100, 'model__num2': 400, 'optimizer__learn_rate': 0.1}
0.640777 (0.030653) with: {'model__depth': 5, 'model__num1': 200, 'model__num2': 100, 'optimizer__learn_rate': 0.001}
0.585719 (0.116791) with: {'model__depth': 5, 'model__num1': 200, 'model__num2': 100, 'optimizer__learn_rate': 0.01}
-0.541709 (1.658360) with: {'model__depth': 5, 'model__num1': 200, 'model__num2': 100, 'optimizer__learn_rate': 0.1}
0.505646 (0.164760) with: {'model__depth': 5, 'model__num1': 200, 'model__num2': 200, 'optimizer__learn_rate': 0.001}
-0.587148 (1.860892) with: {'model__depth': 5, 'model__num1': 200, 'model__num2': 200, 'optimizer__learn_rate': 0.01}
0.655648 (0.070332) with: {'model__depth': 5, 'model__num1': 200, 'model__num2': 200, 'optimizer__learn_rate': 0.1}
0.501282 (0.118034) with: {'model__depth': 5, 'model__num1': 200, 'model__num2': 400, 'optimizer__learn_rate': 0.001}
-0.593653 (1.855750) with: {'model__depth': 5, 'model__num1': 200, 'model__num2': 400, 'optimizer__learn_rate': 0.01}
0.471215 (0.275281) with: {'model__depth': 5, 'model__num1': 200, 'model__num2': 400, 'optimizer__learn_rate': 0.1}
0.416461 (0.172239) with: {'model__depth': 5, 'model__num1': 400, 'model__num2': 100, 'optimizer__learn_rate': 0.001}
-0.584964 (1.862349) with: {'model__depth': 5, 'model__num1': 400, 'model__num2': 100, 'optimizer__learn_rate': 0.01}
-0.688662 (1.862647) with: {'model__depth': 5, 'model__num1': 400, 'model__num2': 100, 'optimizer__learn_rate': 0.1}
-0.681432 (1.867613) with: {'model__depth': 5, 'model__num1': 400, 'model__num2': 200, 'optimizer__learn_rate': 0.001}
0.424705 (0.129954) with: {'model__depth': 5, 'model__num1': 400, 'model__num2': 200, 'optimizer__learn_rate': 0.01}
0.355329 (0.232428) with: {'model__depth': 5, 'model__num1': 400, 'model__num2': 200, 'optimizer__learn_rate': 0.1}
0.646941 (0.042748) with: {'model__depth': 5, 'model__num1': 400, 'model__num2': 400, 'optimizer__learn_rate': 0.001}
0.663763 (0.056561) with: {'model__depth': 5, 'model__num1': 400, 'model__num2': 400, 'optimizer__learn_rate': 0.01}
0.637255 (0.083733) with: {'model__depth': 5, 'model__num1': 400, 'model__num2': 400, 'optimizer__learn_rate': 0.1}
